Standard Report - Imports,,,
Current date: 11/21/2025 5:25 PM (Eastern Standard Time),,,
Measures: Customs Value (Gen) ($US),,,
Commodity,Country,Time,Customs Value (Gen) ($US)
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jul-20,"721,053,587"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Aug-20,"790,761,912"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Sep-20,"804,639,885"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Oct-20,"828,365,976"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Nov-20,"749,769,827"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Dec-20,"704,675,272"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,2021,"9,178,981,355"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jan-21,"770,163,272"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Feb-21,"742,595,315"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Mar-21,"899,014,015"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Apr-21,"679,930,400"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,May-21,"660,080,809"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jun-21,"777,537,945"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jul-21,"680,639,231"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Aug-21,"830,286,277"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Sep-21,"739,085,385"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Oct-21,"825,589,948"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Nov-21,"842,091,041"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Dec-21,"731,967,717"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,2022,"10,681,628,284"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jan-22,"807,409,378"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Feb-22,"782,908,672"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Mar-22,"1,029,993,852"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Apr-22,"842,434,650"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,May-22,"925,164,234"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jun-22,"913,498,895"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jul-22,"805,278,123"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Aug-22,"983,306,242"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Sep-22,"943,328,210"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Oct-22,"952,891,862"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Nov-22,"738,453,275"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Dec-22,"956,960,891"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,2023,"11,243,014,939"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jan-23,"943,165,216"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Feb-23,"897,073,613"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Mar-23,"999,154,140"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Apr-23,"887,923,452"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,May-23,"1,033,077,624"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jun-23,"979,134,874"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jul-23,"867,201,389"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Aug-23,"1,078,748,739"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Sep-23,"936,995,938"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Oct-23,"889,456,496"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Nov-23,"936,840,430"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Dec-23,"794,243,028"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,2024,"11,320,618,284"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jan-24,"983,709,876"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Feb-24,"1,022,465,026"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Mar-24,"1,010,952,386"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Apr-24,"1,053,820,837"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,May-24,"1,041,076,523"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jun-24,"938,494,488"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jul-24,"806,347,493"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Aug-24,"980,131,788"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Sep-24,"927,914,047"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Oct-24,"951,946,059"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Nov-24,"875,027,007"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Dec-24,"728,732,754"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,2025 through August,"7,178,667,474"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jan-25,"812,633,635"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Feb-25,"880,122,311"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Mar-25,"961,196,417"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Apr-25,"884,404,164"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,May-25,"911,415,813"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jun-25,"893,386,064"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Jul-25,"876,184,778"
8708 Parts & Access For Motor Vehicles (head 8701-8705),Canada,Aug-25,"959,324,292"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,2015,"9,307,427,430"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jan-15,"800,382,235"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Feb-15,"654,554,298"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Mar-15,"907,607,696"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Apr-15,"801,999,300"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,May-15,"828,311,420"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jun-15,"836,671,711"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jul-15,"796,404,114"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Aug-15,"825,796,897"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Sep-15,"750,345,687"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Oct-15,"717,035,963"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Nov-15,"694,332,855"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Dec-15,"693,985,254"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,2016,"9,083,834,350"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jan-16,"800,336,637"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Feb-16,"792,761,549"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Mar-16,"671,861,118"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Apr-16,"765,011,678"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,May-16,"821,822,821"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jun-16,"786,158,199"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Jul-16,"785,596,665"
8708 Parts & Access For Motor Vehicles (head 8701-8705),China,Aug-16,"823,546,658"
